date,market_cap_usd,volume_usd,close_usd,source
2026-04-14,1491650187281,53329033805,74181,CoinGecko historical Bitcoin data page sample
2026-04-13,1415861769818,30101377741,74515,CoinGecko historical Bitcoin data page sample
2026-04-12,1462802384989,23868132455,70757,CoinGecko historical Bitcoin data page sample
2026-04-11,1460609915845,38358391004,73054,CoinGecko historical Bitcoin data page sample
2026-04-10,1436399827131,39293023567,72973,CoinGecko historical Bitcoin data page sample
2026-04-09,1423286125224,42583999504,71771,CoinGecko historical Bitcoin data page sample
2026-04-08,1439691204997,54821363018,71117,CoinGecko historical Bitcoin data page sample
2026-04-07,1378430433268,45398732028,71976,CoinGecko historical Bitcoin data page sample
2026-04-06,1380583534920,26416194025,68864,CoinGecko historical Bitcoin data page sample
2026-04-05,1346790078681,21516550337,68986,CoinGecko historical Bitcoin data page sample
